key,model,epoch,mAP50-95,mAP50,train_total_loss,val_total_loss
v10,EsMoE-N,1,0.00369,0.01239,12.341499999999998,8.80914
v10,EsMoE-N,2,0.01822,0.04525,7.6084,6.33249
v10,EsMoE-N,3,0.03141,0.07041,6.36771,5.616899999999999
v10,EsMoE-N,4,0.03895,0.08208,5.74881,5.18712
v10,EsMoE-N,5,0.04481,0.09564,5.413819999999999,5.01819
v10,EsMoE-N,6,0.05247,0.10705,5.19636,4.8105899999999995
v10,EsMoE-N,7,0.05441,0.10967,5.03975,4.71419
v10,EsMoE-N,8,0.06187,0.1238,4.900329999999999,4.53376
v10,EsMoE-N,9,0.06732,0.1314,4.811579999999999,4.48825
v10,EsMoE-N,10,0.06978,0.13453,4.733899999999999,4.4108
v10,EsMoE-N,11,0.07607,0.14601,4.64164,4.32911
v10,EsMoE-N,12,0.07562,0.14553,4.60976,4.32009
v10,EsMoE-N,13,0.07503,0.14369,4.54708,4.28023
v10,EsMoE-N,14,0.08171,0.15384,4.49934,4.234780000000001
v10,EsMoE-N,15,0.08419,0.1604,4.46629,4.18877
v10,EsMoE-N,16,0.08593,0.16037,4.4307,4.18664
v10,EsMoE-N,17,0.09029,0.17226,4.386299999999999,4.11319
v10,EsMoE-N,18,0.09364,0.17522,4.35703,4.062860000000001
v10,EsMoE-N,19,0.0932,0.17507,4.319870000000001,4.06478
v10,EsMoE-N,20,0.09458,0.17622,4.280969999999999,4.02929
v10,EsMoE-N,21,0.09907,0.18459,4.27254,4.00031
v10,EsMoE-N,22,0.10094,0.18718,4.22591,3.9765300000000003
v10,EsMoE-N,23,0.10117,0.187,4.20384,3.97018
v10,EsMoE-N,24,0.10516,0.1951,4.17753,3.94027
v10,EsMoE-N,25,0.10344,0.19204,4.150659999999999,3.9394099999999996
v10,EsMoE-N,26,0.10693,0.19699,4.16399,3.9000899999999996
v10,EsMoE-N,27,0.10838,0.19924,4.1282000000000005,3.88342
v10,EsMoE-N,28,0.10936,0.20187,4.10722,3.87675
v10,EsMoE-N,29,0.11207,0.20429,4.09577,3.84548
v10,EsMoE-N,30,0.11137,0.2051,4.07703,3.84331
v10,EsMoE-N,31,0.1134,0.20817,4.0607999999999995,3.82461
v10,EsMoE-N,32,0.11562,0.20968,4.050109999999999,3.82016
v10,EsMoE-N,33,0.11386,0.2082,4.045389999999999,3.80936
v10,EsMoE-N,34,0.1152,0.21125,4.02993,3.79521
v10,EsMoE-N,35,0.11698,0.21323,4.00916,3.78696
v10,EsMoE-N,36,0.11914,0.21683,3.99154,3.7660599999999995
v10,EsMoE-N,37,0.11901,0.21666,3.9737299999999998,3.76746
v10,EsMoE-N,38,0.11914,0.2174,3.97452,3.763
v10,EsMoE-N,39,0.12002,0.21896,3.94371,3.74931
v10,EsMoE-N,40,0.12083,0.21982,3.93417,3.7436099999999994
v10,EsMoE-N,41,0.11887,0.21758,3.85827,3.7626799999999996
v10,EsMoE-N,42,0.11944,0.21781,3.8074000000000003,3.75664
v10,EsMoE-N,43,0.1207,0.22099,3.7956800000000004,3.7454099999999997
v10,EsMoE-N,44,0.12226,0.22275,3.7703800000000003,3.74429
v10,EsMoE-N,45,0.12137,0.2204,3.7564099999999994,3.73253
v10,EsMoE-N,46,0.12297,0.22304,3.7478700000000003,3.72797
v10,EsMoE-N,47,0.12334,0.22345,3.73832,3.72607
v10,EsMoE-N,48,0.12327,0.22376,3.72786,3.71873
v10,EsMoE-N,49,0.12328,0.22339,3.72699,3.7199
v10,EsMoE-N,50,0.12324,0.22356,3.7081699999999995,3.7163899999999996
v10_mot,MoT-N,1,0.00351,0.01453,12.771150000000002,8.90549
v10_mot,MoT-N,2,0.01738,0.04583,7.804989999999999,6.47016
v10_mot,MoT-N,3,0.02954,0.06818,6.53278,5.783460000000001
v10_mot,MoT-N,4,0.03631,0.0809,5.90737,5.36572
v10_mot,MoT-N,5,0.04452,0.09542,5.5513200000000005,5.04066
v10_mot,MoT-N,6,0.05034,0.10461,5.35559,4.891120000000001
v10_mot,MoT-N,7,0.05519,0.11335,5.20227,4.78958
v10_mot,MoT-N,8,0.05737,0.1175,5.063479999999999,4.70824
v10_mot,MoT-N,9,0.0638,0.13015,4.95931,4.595
v10_mot,MoT-N,10,0.06366,0.12658,4.87744,4.53458
v10_mot,MoT-N,11,0.07123,0.14036,4.771739999999999,4.42718
v10_mot,MoT-N,12,0.06771,0.13757,4.72884,4.464169999999999
v10_mot,MoT-N,13,0.07322,0.14365,4.64999,4.36499
v10_mot,MoT-N,14,0.07865,0.15229,4.599710000000001,4.31621
v10_mot,MoT-N,15,0.08308,0.16044,4.561590000000001,4.28056
v10_mot,MoT-N,16,0.08476,0.16155,4.525669999999999,4.22819
v10_mot,MoT-N,17,0.08497,0.16393,4.476310000000001,4.18021
v10_mot,MoT-N,18,0.08936,0.16948,4.44058,4.16258
v10_mot,MoT-N,19,0.09011,0.17196,4.40261,4.1411
v10_mot,MoT-N,20,0.09365,0.1782,4.36401,4.09828
v10_mot,MoT-N,21,0.09606,0.18191,4.347049999999999,4.06577
v10_mot,MoT-N,22,0.09726,0.18121,4.299849999999999,4.02868
v10_mot,MoT-N,23,0.09703,0.18211,4.27677,4.01676
v10_mot,MoT-N,24,0.0992,0.18693,4.247450000000001,4.00916
v10_mot,MoT-N,25,0.10012,0.18597,4.22762,3.9832899999999998
v10_mot,MoT-N,26,0.09939,0.18635,4.23294,3.9644400000000006
v10_mot,MoT-N,27,0.10393,0.19312,4.193949999999999,3.9353499999999997
v10_mot,MoT-N,28,0.10522,0.19667,4.17056,3.9308499999999995
v10_mot,MoT-N,29,0.10594,0.19459,4.15677,3.90089
v10_mot,MoT-N,30,0.10648,0.19734,4.141439999999999,3.8986199999999998
v10_mot,MoT-N,31,0.10794,0.19976,4.11553,3.88141
v10_mot,MoT-N,32,0.10944,0.20226,4.110189999999999,3.87421
v10_mot,MoT-N,33,0.1106,0.20438,4.1035200000000005,3.8729000000000005
v10_mot,MoT-N,34,0.11184,0.2074,4.08441,3.8431200000000003
v10_mot,MoT-N,35,0.11152,0.2064,4.06712,3.84307
v10_mot,MoT-N,36,0.11407,0.21056,4.04064,3.8204399999999996
v10_mot,MoT-N,37,0.11505,0.2107,4.02441,3.81842
v10_mot,MoT-N,38,0.11549,0.21433,4.02488,3.8189399999999996
v10_mot,MoT-N,39,0.1169,0.21621,3.99818,3.7979000000000003
v10_mot,MoT-N,40,0.11809,0.2164,3.98528,3.7896900000000002
v10_mot,MoT-N,41,0.11651,0.21543,3.90495,3.79943
v10_mot,MoT-N,42,0.11625,0.21491,3.85099,3.7945199999999994
v10_mot,MoT-N,43,0.11879,0.21962,3.83991,3.7824999999999998
v10_mot,MoT-N,44,0.11933,0.21923,3.81858,3.77538
v10_mot,MoT-N,45,0.11973,0.21977,3.80479,3.76982
v10_mot,MoT-N,46,0.11937,0.21989,3.7959199999999997,3.76192
v10_mot,MoT-N,47,0.11993,0.22071,3.7841499999999995,3.76284
v10_mot,MoT-N,48,0.12058,0.22183,3.7716600000000002,3.75507
v10_mot,MoT-N,49,0.1206,0.22137,3.77194,3.75939
v10_mot,MoT-N,50,0.12081,0.22248,3.7511999999999994,3.75015
v10_moa,MoA-N,1,0.00369,0.01366,12.36135,9.07344
v10_moa,MoA-N,2,0.01852,0.04675,7.66343,6.32744
v10_moa,MoA-N,3,0.02887,0.06663,6.432550000000001,5.77407
v10_moa,MoA-N,4,0.03457,0.07581,5.843249999999999,5.397819999999999
v10_moa,MoA-N,5,0.04547,0.0959,5.514950000000001,5.00807
v10_moa,MoA-N,6,0.04839,0.10058,5.29436,4.856529999999999
v10_moa,MoA-N,7,0.05674,0.1158,5.13342,4.71319
v10_moa,MoA-N,8,0.06221,0.12209,4.98657,4.562519999999999
v10_moa,MoA-N,9,0.06747,0.1317,4.89409,4.47721
v10_moa,MoA-N,10,0.0665,0.131,4.8111999999999995,4.46329
v10_moa,MoA-N,11,0.0727,0.14057,4.72359,4.37516
v10_moa,MoA-N,12,0.0729,0.14129,4.68575,4.33522
v10_moa,MoA-N,13,0.07483,0.14268,4.61826,4.28084
v10_moa,MoA-N,14,0.07973,0.1526,4.57479,4.2419
v10_moa,MoA-N,15,0.08186,0.15544,4.53909,4.2104099999999995
v10_moa,MoA-N,16,0.08382,0.16011,4.50715,4.20034
v10_moa,MoA-N,17,0.08687,0.1652,4.464359999999999,4.11984
v10_moa,MoA-N,18,0.0905,0.1709,4.435479999999999,4.10586
v10_moa,MoA-N,19,0.09077,0.17221,4.398499999999999,4.08561
v10_moa,MoA-N,20,0.0934,0.17428,4.36247,4.0385
v10_moa,MoA-N,21,0.09585,0.17971,4.345160000000001,4.004499999999999
v10_moa,MoA-N,22,0.09643,0.18039,4.3076,3.9991499999999998
v10_moa,MoA-N,23,0.09881,0.18535,4.2822,3.97243
v10_moa,MoA-N,24,0.10116,0.18921,4.25789,3.9745999999999997
v10_moa,MoA-N,25,0.10074,0.18778,4.23032,3.9573
v10_moa,MoA-N,26,0.10149,0.19071,4.25056,3.93936
v10_moa,MoA-N,27,0.10456,0.19375,4.20678,3.90825
v10_moa,MoA-N,28,0.10596,0.19539,4.18393,3.89696
v10_moa,MoA-N,29,0.10861,0.19994,4.1734800000000005,3.8614699999999997
v10_moa,MoA-N,30,0.10967,0.20221,4.16007,3.8567000000000005
v10_moa,MoA-N,31,0.10916,0.20154,4.14252,3.85358
v10_moa,MoA-N,32,0.10897,0.1998,4.13907,3.86325
v10_moa,MoA-N,33,0.11326,0.20763,4.13193,3.8428199999999997
v10_moa,MoA-N,34,0.11309,0.20822,4.1182799999999995,3.8301800000000004
v10_moa,MoA-N,35,0.1121,0.20644,4.1025,3.82865
v10_moa,MoA-N,36,0.11366,0.209,4.0811,3.82433
v10_moa,MoA-N,37,0.11511,0.21106,4.05972,3.8042900000000004
v10_moa,MoA-N,38,0.11542,0.21327,4.05522,3.7987900000000003
v10_moa,MoA-N,39,0.11528,0.21283,4.01875,3.7881
v10_moa,MoA-N,40,0.1163,0.21262,4.006869999999999,3.78613
v10_moa,MoA-N,41,0.11461,0.21093,3.9228300000000007,3.8025700000000002
v10_moa,MoA-N,42,0.11601,0.21271,3.86084,3.7807500000000003
v10_moa,MoA-N,43,0.11699,0.21424,3.84474,3.77875
v10_moa,MoA-N,44,0.1173,0.21409,3.81905,3.77409
v10_moa,MoA-N,45,0.11794,0.21519,3.79877,3.7653200000000004
v10_moa,MoA-N,46,0.11816,0.21614,3.7908700000000004,3.7684800000000003
v10_moa,MoA-N,47,0.1185,0.21632,3.7784400000000002,3.76061
v10_moa,MoA-N,48,0.11937,0.21688,3.7694499999999995,3.75323
v10_moa,MoA-N,49,0.11923,0.21734,3.76447,3.7603400000000002
v10_moa,MoA-N,50,0.11933,0.21697,3.74733,3.75094
v10_moa_mot,MoA+MoT-N,1,0.00688,0.02093,12.25286,7.83697
v10_moa_mot,MoA+MoT-N,2,0.0193,0.05011,7.68927,6.45275
v10_moa_mot,MoA+MoT-N,3,0.03097,0.07104,6.48654,5.62381
v10_moa_mot,MoA+MoT-N,4,0.03781,0.08411,5.9287399999999995,5.30407
v10_moa_mot,MoA+MoT-N,5,0.04397,0.0946,5.6303399999999995,5.06752
v10_moa_mot,MoA+MoT-N,6,0.04897,0.10239,5.48813,4.93453
v10_moa_mot,MoA+MoT-N,7,0.05241,0.1093,5.332940000000001,4.81975
v10_moa_mot,MoA+MoT-N,8,0.0558,0.11582,5.225,4.701829999999999
v10_moa_mot,MoA+MoT-N,9,0.06,0.12147,5.09423,4.65601
v10_moa_mot,MoA+MoT-N,10,0.06225,0.12546,4.98112,4.56977
v10_moa_mot,MoA+MoT-N,11,0.06648,0.13063,4.91326,4.54191
v10_moa_mot,MoA+MoT-N,12,0.0697,0.13792,4.87057,4.44693
v10_moa_mot,MoA+MoT-N,13,0.07241,0.1386,4.80707,4.4111
v10_moa_mot,MoA+MoT-N,14,0.07724,0.1504,4.725479999999999,4.3607700000000005
v10_moa_mot,MoA+MoT-N,15,0.07917,0.15267,4.69439,4.29399
v10_moa_mot,MoA+MoT-N,16,0.0795,0.15155,4.64106,4.31498
v10_moa_mot,MoA+MoT-N,17,0.08175,0.15858,4.6121,4.2489799999999995
v10_moa_mot,MoA+MoT-N,18,0.08648,0.16593,4.55433,4.1966
v10_moa_mot,MoA+MoT-N,19,0.08898,0.17033,4.528429999999999,4.154249999999999
v10_moa_mot,MoA+MoT-N,20,0.08933,0.17298,4.4906500000000005,4.17706
v10_moa_mot,MoA+MoT-N,21,0.09107,0.17446,4.48554,4.13006
v10_moa_mot,MoA+MoT-N,22,0.09593,0.18061,4.4251499999999995,4.090059999999999
v10_moa_mot,MoA+MoT-N,23,0.09647,0.18214,4.399729999999999,4.06988
v10_moa_mot,MoA+MoT-N,24,0.0985,0.18605,4.39105,4.050750000000001
v10_moa_mot,MoA+MoT-N,25,0.09697,0.18455,4.34633,4.04092
v10_moa_mot,MoA+MoT-N,26,0.09966,0.18956,4.33483,4.02921
v10_moa_mot,MoA+MoT-N,27,0.10123,0.1899,4.3261199999999995,4.00799
v10_moa_mot,MoA+MoT-N,28,0.10082,0.19142,4.29836,3.98472
v10_moa_mot,MoA+MoT-N,29,0.10422,0.19646,4.2707,3.98565
v10_moa_mot,MoA+MoT-N,30,0.10455,0.19818,4.27373,3.97054
v10_moa_mot,MoA+MoT-N,31,0.10599,0.2003,4.262919999999999,3.95763
v10_moa_mot,MoA+MoT-N,32,0.10755,0.20215,4.25185,3.94552
v10_moa_mot,MoA+MoT-N,33,0.10786,0.20184,4.2290600000000005,3.9353599999999997
v10_moa_mot,MoA+MoT-N,34,0.10972,0.20613,4.22417,3.9195100000000003
v10_moa_mot,MoA+MoT-N,35,0.11094,0.20858,4.22167,3.9198899999999997
v10_moa_mot,MoA+MoT-N,36,0.11279,0.21059,4.1846,3.90801
v10_moa_mot,MoA+MoT-N,37,0.11275,0.21003,4.1622699999999995,3.90014
v10_moa_mot,MoA+MoT-N,38,0.11391,0.21241,4.13828,3.88631
v10_moa_mot,MoA+MoT-N,39,0.11487,0.21399,4.12012,3.8743
v10_moa_mot,MoA+MoT-N,40,0.11518,0.21411,4.09827,3.8689799999999996
v10_moa_mot,MoA+MoT-N,41,0.11505,0.21372,4.006530000000001,3.88626
v10_moa_mot,MoA+MoT-N,42,0.11407,0.21218,3.9535400000000003,3.8768200000000004
v10_moa_mot,MoA+MoT-N,43,0.11656,0.21686,3.9435499999999997,3.8676500000000003
v10_moa_mot,MoA+MoT-N,44,0.11579,0.21613,3.92993,3.87403
v10_moa_mot,MoA+MoT-N,45,0.11589,0.21624,3.9054999999999995,3.86267
v10_moa_mot,MoA+MoT-N,46,0.11685,0.21798,3.88688,3.86212
v10_moa_mot,MoA+MoT-N,47,0.11718,0.21852,3.8837900000000003,3.85406
v10_moa_mot,MoA+MoT-N,48,0.11719,0.21856,3.85865,3.85043
v10_moa_mot,MoA+MoT-N,49,0.11809,0.2199,3.8683,3.8452900000000003
v10_moa_mot,MoA+MoT-N,50,0.11789,0.21942,3.8528,3.8487899999999997
